Tmx Prolateness Oblateness Size tr Tb
10 1 1 70 9.99999999999999E+017 130
10 1 1 80 9.99999999999999E+017 169
10 1 1 90 9.99999999999999E+017 150
10 1 1 100 9.99999999999999E+017 170
10 1 1 110 12174071.2018376 68
10 1 1 120 32.5911530694574 20
10 1 1 130 9.99999999999999E+017 112
10 1 1 140 9.99999999999999E+017 161
10 1 1 150 9.99999999999999E+017 191
10 1 1 160 9.99999999999999E+017 215
10 1 1 170 9.99999999999999E+017 235
10 1 1 180 9.99999999999999E+017 250
10 1 1 190 9.99999999999999E+017 264
10 1 1 200 9.99999999999999E+017 277
10 1 1 210 9.99999999999999E+017 288
10 1 1 220 9.99999999999999E+017 296
10 1 1 230 9.99999999999999E+017 306
10 1 1 240 9.99999999999999E+017 314
15 1 1 40 0.00153670041172866 20
15 1 1 50 1098.53044535252 30
15 1 1 60 701698726133.753 87
15 1 1 70 9.99999999999999E+017 131
15 1 1 80 9.99999999999999E+017 167
15 1 1 90 9.99999999999999E+017 197
15 1 1 100 9.99999999999999E+017 185
15 1 1 110 9.99999999999999E+017 175
15 1 1 120 29282036.4012893 58
15 1 1 130 177500844.448916 41
15 1 1 140 9.99999999999999E+017 136
15 1 1 150 9.99999999999999E+017 175
15 1 1 160 9.99999999999999E+017 202
15 1 1 170 9.99999999999999E+017 223
15 1 1 180 9.99999999999999E+017 239
15 1 1 190 9.99999999999999E+017 253
15 1 1 200 9.99999999999999E+017 265
15 1 1 210 9.99999999999999E+017 276
15 1 1 220 9.99999999999999E+017 286
15 1 1 230 9.99999999999999E+017 294
15 1 1 240 9.99999999999999E+017 301
20 1 1 40 0.00174505748927525 20
20 1 1 50 1496.20398838237 30
20 1 1 60 1144910145254.84 85
20 1 1 70 9.99999999999999E+017 126
20 1 1 80 9.99999999999999E+017 160
20 1 1 90 9.99999999999999E+017 186
20 1 1 100 9.99999999999999E+017 157
20 1 1 110 9.99999999999999E+017 197
20 1 1 120 9.99999999999999E+017 173
20 1 1 130 10626674671.9694 59
20 1 1 140 151386704507371 85
20 1 1 150 9.99999999999999E+017 145
20 1 1 160 9.99999999999999E+017 181
20 1 1 170 9.99999999999999E+017 204
20 1 1 180 9.99999999999999E+017 222
