TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,100,4.2739785409801343e-16,1.4411462885524842e-19,2.4319686346059476e-18,I,475,475
30,hard,1.44,1.0,100,4.2739785409791043e-16,1.44114628855197e-19,2.4319686346053113e-18,Z,475,475
30,hard,1.44,1.0,100,4.2739785409605257e-16,1.4411462885464734e-19,2.4319686345946185e-18,Z,500,500
30,hard,1.44,1.0,100,4.2739785409603427e-16,1.4411462889803084e-19,2.4319686345942025e-18,P,450,500
30,hard,1.44,1.0,100,4.2739785409412765e-16,1.44114632561685e-19,2.4319686345610627e-18,I,500,500
30,hard,1.44,1.0,100,4.27397853950452e-16,1.4411487331061752e-19,2.4319686322377602e-18,I,520,520
30,hard,1.44,1.0,100,4.273978538095381e-16,1.4411487326299139e-19,2.4319686314358824e-18,Z,520,520
30,hard,1.44,1.0,100,4.2739770865961337e-16,1.441148243194117e-19,2.4319678055072706e-18,Z,540,540
30,hard,1.44,1.0,100,4.273977086577068e-16,1.4411482798310516e-19,2.431967805473993e-18,P,500,540
30,hard,1.44,1.0,100,4.2739756148117544e-16,1.4431905235011934e-19,2.4319656733108933e-18,I,540,540
30,hard,1.44,1.0,100,4.0674079090429875e-16,2.13129185733841e-17,2.1778937271916055e-18,I,560,560
30,hard,1.44,1.0,100,3.8722945505233597e-16,2.0290538911520362e-17,2.0734202715866685e-18,Z,560,560
30,hard,1.44,1.0,100,-1.2356255375225523e-32,-2.6353745670846165e-33,-3.158530893478952e-32,Z,579,579
30,hard,1.44,1.0,100,6.95971961994048e-26,2.0427577829062377e-22,-1.3862941771588257e-24,P,540,579
30,hard,1.44,1.0,100,1.1422379493831475e-19,3.38014184087104e-16,-2.270574296051823e-18,I,579,579
30,hard,1.44,1.0,110,4.2494113792702505e-16,-3.611736324683836e-19,-1.2780355895585374e-18,Z,20,20
30,hard,1.44,1.0,110,4.2494113791635147e-16,-3.611736324593444e-19,-1.2780355895264279e-18,Z,100,100
30,hard,1.44,1.0,110,4.249411379052876e-16,-3.6117361929890245e-19,-1.2780355894452704e-18,I,100,100
30,hard,1.44,1.0,110,7.192938065291166e-20,3.8881795157475106e-16,1.3856261473421967e-18,I,200,200
30,hard,1.44,1.0,110,4.511083509814973e-34,3.899866623632837e-34,1.3684555315672042e-48,Z,200,200
30,hard,1.44,1.0,110,4.511083509814973e-34,3.899866623632837e-34,1.3684555315672042e-48,Z,300,300
30,hard,1.44,1.0,110,-3.2017439675052095e-30,1.3049074980349335e-26,4.2738038167696153e-29,P,100,300
30,hard,1.44,1.0,110,7.192938065277674e-20,3.8881795157474864e-16,1.3856261473421035e-18,I,300,300
30,hard,1.44,1.0,110,7.192938065269181e-20,3.8881795157469525e-16,1.3856261473418716e-18,I,350,350
30,hard,1.44,1.0,110,4.511083509814973e-34,3.899866623632837e-34,1.3684555315672042e-48,Z,350,350
30,hard,1.44,1.0,110,4.511083509814973e-34,3.899866623632837e-34,1.3684555315672042e-48,Z,400,400
30,hard,1.44,1.0,110,7.192938065277674e-20,3.8881795157474864e-16,1.3856261473421035e-18,P,300,400
30,hard,1.44,1.0,110,7.192938065279726e-20,3.88817951574762e-16,1.3856261473421847e-18,I,400,400
30,hard,1.44,1.0,110,7.192938065280197e-20,3.8881795157476935e-16,1.3856261473423014e-18,I,425,425
